fp.3.Luci_01A01.ctg.ctg7180000038453 fp.3.Luci_13C09.ctg.ctg7180000121307
fp.3.Luci_01A01.ctg.ctg7180000038456 fp.3.Luci_10H11.ctg.ctg7180000322271
fp.3.Luci_01A01.ctg.ctg7180000038456 fp.3.Luci_12H08.ctg.ctg7180000156609
fp.3.Luci_01A01.ctg.ctg7180000038456 fp.3.Luci_12H08.ctg.ctg7180000221660
fp.3.Luci_01A01.ctg.ctg7180000038456 contig_619129
fp.3.Luci_01A01.ctg.ctg7180000038456 contig_2709911
fp.3.Luci_01A01.ctg.ctg7180000038456 fermi14057505167_8085699330
fp.3.Luci_01A01.ctg.ctg7180000038456 fermi15252444435_834355968
fp.3.Luci_01A01.ctg.ctg7180000038457 fp.3.Luci_06B06.ctg.ctg7180000050234
fp.3.Luci_01A01.ctg.ctg7180000038457 contig_528728
fp.3.Luci_01A01.ctg.ctg7180000038459 fp.3.Luci_01A01.ctg.ctg7180000040247
fp.3.Luci_01A01.ctg.ctg7180000038459 fp.3.Luci_14G04.ctg.ctg7180000116655
fp.3.Luci_01A01.ctg.ctg7180000038459 fp.3.Luci_20D03.ctg.ctg7180000161361
fp.3.Luci_01A01.ctg.ctg7180000038459 fp.3.Luci_20D03.ctg.ctg7180000161438
fp.3.Luci_01A01.ctg.ctg7180000038459 fp.3.Luci_20D03.ctg.ctg7180000162274
fp.3.Luci_01A01.ctg.ctg7180000038459 fp.3.Luci_20E03.ctg.jtg7180000239144r_7180000276329f_7180000240244f
fp.3.Luci_01A01.ctg.ctg7180000038459 fp.3.Luci_20E03.ctg.jtg7180000278560f_7180000278561f_7180000273746f
fp.3.Luci_01A01.ctg.ctg7180000038460 fp.3.Luci_01A01.ctg.ctg7180000039190
fp.3.Luci_01A01.ctg.ctg7180000038465 fp.3.Luci_51B05.ctg.jtg7180000316545f_7180000316546f
fp.3.Luci_01A01.ctg.ctg7180000038465 fp.3.Luci_52D08.ctg.jtg7180000328517f_7180000321760f
